"","CellID","CompID","BaseID","Comppartialprofit_Mean","Comppartialprofit_SD","Comppartialprofit_CV","Comppartialprofit_Max","Comppartialprofit_Min","CompCropFailureProb","CompMinPropSOSDBase","Basepartialprofit_Mean","Basepartialprofit_SD","Basepartialprofit_CV","Basepartialprofit_Max","Basepartialprofit_Min","BaseCropFailureProb","BaseMinPropSOSDComp","Diff_Mean_CompBase","Diff_SD_CompBase","Diff_CV_CompBase","Diff_CropFailureProbCompBase","MinProp_CompSOSDBase_Divdbasepartialprofit","MinProp_BaseSOSDComp_Divdbasepartialprofit","Riskiness_Comp","RiceArea"
"1830",2645,1,1,103125.936961031,14785.9835470179,0.143377931708928,127507.135223433,62438.1365115962,0,-23261.655623296,79864.2813347781,29994.5988679003,0.375569633465652,122035.418623852,28082.145109113,0,-47067.2009534571,23261.6556262524,-15208.6153208824,-0.232191701756723,0,-0.291264821200693,-0.589339817084924,1,1
"1831",2646,1,1,107488.663336119,14926.9620544133,0.138870105843036,132769.110496676,69545.4333902469,0,-22657.9504248286,84830.7129060825,31772.3165913719,0.374537894389117,128181.849931403,30170.2014161889,0,-49741.990238638,22657.9504300364,-16845.3545369585,-0.235667788546081,0,-0.267096074624689,-0.58636770262332,1,1
"1832",2647,1,1,107074.935379981,16088.1036612112,0.150250883683644,133684.81912084,62635.178311365,0,-23151.5078766986,83923.427501224,32479.1149666497,0.387008919126617,127809.345023623,29785.3743362511,0,-47273.155102954,23151.5078787573,-16391.0113054385,-0.236758035442973,0,-0.275864660989459,-0.563289137616127,1,1
"1833",2648,1,1,109938.390718985,17958.6793642476,0.163352212514663,137450.590461102,59976.8187015229,0,-22486.273906742,87452.1168086536,31942.5863122471,0.365258011788758,130795.47917633,33136.9274711409,0,-42586.9753642026,22486.2739103311,-13983.9069479995,-0.201905799274096,0,-0.25712669661207,-0.48697478023755,1,1
"1834",2649,1,1,106037.961328646,17820.0710878863,0.168053693833816,133972.121130108,57350.3611759839,0,-21361.0699043969,84676.8914206913,31581.249177745,0.372961839385945,131340.747869183,31705.1480681957,0,-38984.6176260725,21361.0699079548,-13761.1780898587,-0.204908145552129,0,-0.252265636421051,-0.460392640447668,1,1
"1835",265,1,1,94207.3198846213,18142.6678506674,0.192582358492815,119852.456074734,49683.6128207993,0,-13341.1564083755,80866.1634690006,29917.1136556961,0.369958365431354,121526.466259011,29221.2398358804,0,-32277.0348032784,13341.1564156207,-11774.4458050287,-0.177376006938539,0,-0.164978228669025,-0.399141413647644,1,1
"1836",2650,1,1,106955.785959466,17686.7288968712,0.165364863043259,133608.699723202,62877.8643166496,0,-22373.012186203,84582.7737696099,31593.328374303,0.373519653781493,132654.176207314,31588.7304636864,0,-39866.9436368353,22373.0121898563,-13906.5994774318,-0.208154790738235,0,-0.264510268333639,-0.471336441926421,1,1
"1837",2651,1,1,107099.904247228,17481.707119505,0.163228036872475,134758.434025268,63473.5681735502,0,-22872.8876963117,84227.0165432852,31660.2102537592,0.375891389165953,129451.960931758,30621.4087498596,0,-41908.2512268588,22872.8877039423,-14178.5031342542,-0.212663352293479,0,-0.271562363657474,-0.497563049800318,1,1
"1838",2652,1,1,100093.811422072,15612.4364969213,0.155978039752002,123295.876495483,55123.6039812394,0,-24192.3533970346,75901.4580231305,31380.0346812832,0.413431250183894,117677.262320067,21827.0252422427,0,-44885.653825298,24192.3533989412,-15767.5981843619,-0.257453210431892,0,-0.318733711145076,-0.59136747823236,1,1
"1839",2653,1,1,98640.9817760881,15987.4275001732,0.162076930017426,121732.75869055,51059.410406654,0,-26072.1492281318,72568.832546361,30885.3055207328,0.425600143160654,112900.514131933,21405.2283871392,0,-43973.9428485742,26072.1492297271,-14897.8780205596,-0.263523213143228,0,-0.359274750788852,-0.605961833828333,1,1
